date,price,market_caps,total_volumes
14/11/2014,395.245,5336222507,263499968.5892329
15/11/2014,377.3267,5095655586,99179350.35
16/11/2014,387.6233,5236180276,95731301.28432417
17/11/2014,384.9,5200788045,152824089.08328944
18/11/2014,374.8683,5066663713,109440633.05073106
19/11/2014,376.7883,5093942323,84367865.37
20/11/2014,355.3888345541618,4805825477.746428,93722502.04
21/11/2014,349.3882854323945,4725799745,100624477.55914839
22/11/2014,351.5500000000001,4756418767.500001,68856354.94119315
23/11/2014,366.7817,4963794289,71063869.31374641
24/11/2014,377.7417,5113527167,116848548.38822386
25/11/2014,375.248,5080998638,115570302.47559404
26/11/2014,365.7660000000001,4953852406.650002,92282203.67741974
27/11/2014,368.448,4991429534,70974036.26141815
28/11/2014,376.951,5108072425,91254232.81791146
29/11/2014,374.9649999999999,5082659949.124999,100952560.51474999
30/11/2014,376.472,5104546201,74926943.90674321
1/12/2014,379.489,5146696229,64120830.50054466
2/12/2014,381.3768000000001,5173729065.540001,66841251.26995943
3/12/2014,374.103,5076166197,74772912.71073525
4/12/2014,368.2282000000001,4997777244.500001,62639548.33058211
5/12/2014,376.379,5109881265,57857463.42592923
6/12/2014,373.671,5074368104,48428933.75856517
7/12/2014,374.448,5086108462,38514374.875024594
8/12/2014,361.433,4910799207,66593741.913184226
9/12/2014,350.9280000000001,4769269437.600001,88924869.65991856
10/12/2014,346.9798718363186,4716905099.220487,59696950.62553664
11/12/2014,346.9089999999999,4717173182.024999,118502898.82834333
12/12/2014,351.502,4780796277,50698218.39649164
13/12/2014,347.484,4727528507,38735004.41273056
14/12/2014,350.133,4764706151,44354135.28957544
15/12/2014,344.615,4690951072,30644200.622725755
16/12/2014,328.5340000000001,4473187530.400002,71798679.48126574
17/12/2014,318.828,4342046796,76239460.27345972
18/12/2014,309.765,4219673039,90976235.79233617
19/12/2014,317.54,4326569824,60607669.35
20/12/2014,328.7740000000001,4480153981.900002,64328493.85057997
21/12/2014,319.501,4353792202,58024786.31
22/12/2014,329.886,4498284260,51126866.96604784
23/12/2014,333.97,4555334102,58571793.10819222
24/12/2014,322.194,4395934388,37974791.61572064
25/12/2014,318.166,4342234118,75362825.06098935
26/12/2014,327.7169708710151,4473844613.694206,93256490.21344973
27/12/2014,314.568,4295536139,145862961.0588076
28/12/2014,316.491,4322768587,67051620.38671447
29/12/2014,312.6329999999999,4271645363.8499985,99471184.46915883
30/12/2014,310.079,4237996981,71609763.01677348
31/12/2014,317.379,4338943850,71036111.34880373
1/1/2015,313.9920000000001,4293958347.0000014,46999364.08867299
2/1/2015,314.446,4301448335,38855906.30053607
3/1/2015,286.572,3921358112,118778941.40912902
4/1/2015,260.936,3571639781,205500148.96968707
5/1/2015,273.22,3740880427,155038125.45582142
6/1/2015,285.3738000000001,3908408221.3500013,97002895.97640781
7/1/2015,295.8725,4053238742,110674232.97875299
8/1/2015,284.4525,3897824162,86570544.47058573
9/1/2015,289.5738000000001,3968992614.2850013,83478400.28
10/1/2015,274.533,3763909200,92683835.63260388
11/1/2015,267.184,3664201454,73256737.91089578
12/1/2015,268.3536677,3681154854.371071,78982214.88677162
